Program summary
simulated time,0.001918,0.001851,0.001804,0.001796
simulated tick,1918151000,1851113000,1803661000,1795720000
total Inst.,378971,378971,378971,378971
total cycle,1918151,1851113,1803661,1795720
CPI,5.057775,4.881009,4.755888,4.734949
IPC,0.197715,0.204876,0.210266,0.211196
Int-Inst. count,376040,376040,376040,376040
Load-Inst. count,80758,80758,80758,80758
Store-Inst. count,40786,40786,40786,40786
Vector-Inst. count,0,0,0,0

L1-Instruction-Cache summary
$L1-I hit count,442397,442397,442397,442397
$L1-I miss count,17213,17213,17213,17213
$L1-I access count,459610,459610,459610,459610
$L1-I miss rate,0.037451,0.037451,0.037451,0.037451
L1-I assoc,2,2,2,2
L1-I size,1024,1024,1024,1024

L1-Data-Cache summary
$L1-D hit count,112248,114824,116682,116976
$L1-D miss count,9258,6682,4824,4530
$L1-D access count,121506,121506,121506,121506
$L1-D miss rate,0.076194,0.054993,0.039702,0.037282
L1-D assoc,1,2,4,8
L1-D size,1024,1024,1024,1024

L2-Cache summary
$L2 hit count,25004,22431,20571,20282
$L2 miss count,1473,1470,1472,1467
$L2 access count,26477,23901,22043,21749
$L2 miss rate,0.055633,0.061504,0.066779,0.067451
L2 assoc,2,2,2,2
L2 size,16384,16384,16384,16384

