Program summary
simulated time,0.001918,0.001792,0.001756,0.001714,0.001712,0.001707,0.001706,0.001702
simulated tick,1918151000,1791557000,1755504000,1714141000,1711730000,1707069000,1705550000,1702225000
total Inst.,378971,378971,378971,378971,378971,378971,378971,378971
total cycle,1918151,1791557,1755504,1714141,1711730,1707069,1705550,1702225
CPI,5.057775,4.723972,4.628908,4.519842,4.513485,4.501194,4.497189,4.488422
IPC,0.197715,0.211686,0.216034,0.221247,0.221558,0.222163,0.222361,0.222795
Int-Inst. count,376040,376040,376040,376040,376040,376040,376040,376040
Load-Inst. count,80758,80758,80758,80758,80758,80758,80758,80758
Store-Inst. count,40786,40786,40786,40786,40786,40786,40786,40786
Vector-Inst. count,0,0,0,0,0,0,0,0

L1-Instruction-Cache summary
$L1-I hit count,442397,442397,442397,442397,442397,442397,442397,442397
$L1-I miss count,17213,17213,17213,17213,17213,17213,17213,17213
$L1-I access count,459610,459610,459610,459610,459610,459610,459610,459610
$L1-I miss rate,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451
L1-I assoc,2,2,2,2,2,2,2,2
L1-I size,1024,1024,1024,1024,1024,1024,1024,1024

L1-Data-Cache summary
$L1-D hit count,112248,117355,118695,120359,120403,120477,120529,120572
$L1-D miss count,9258,4151,2811,1147,1103,1029,977,934
$L1-D access count,121506,121506,121506,121506,121506,121506,121506,121506
$L1-D miss rate,0.076194,0.034163,0.023135,0.009440,0.009078,0.008469,0.008041,0.007687
L1-D assoc,1,1,1,1,1,1,1,1
L1-D size,1024,2048,4096,8192,16384,32768,65536,131072

L2-Cache summary
$L2 hit count,25004,19902,18572,16927,16887,16835,16796,16780
$L2 miss count,1473,1467,1457,1436,1432,1410,1397,1368
$L2 access count,26477,21369,20029,18363,18319,18245,18193,18148
$L2 miss rate,0.055633,0.068651,0.072745,0.078201,0.078170,0.077281,0.076788,0.075380
L2 assoc,2,2,2,2,2,2,2,2
L2 size,16384,16384,16384,16384,16384,16384,16384,16384

