Program summary
simulated time,0.002079,0.001851,0.001839,0.001838
simulated tick,2079290000,1851113000,1838806000,1838192000
total Inst.,378971,378971,378971,378971
total cycle,2079290,1851113,1838806,1838192
CPI,5.482666,4.881009,4.848558,4.846939
IPC,0.182393,0.204876,0.206247,0.206316
Int-Inst. count,376040,376040,376040,376040
Load-Inst. count,80758,80758,80758,80758
Store-Inst. count,40786,40786,40786,40786
Vector-Inst. count,0,0,0,0

L1-Instruction-Cache summary
$L1-I hit count,432833,442397,442892,442856
$L1-I miss count,26777,17213,16718,16754
$L1-I access count,459610,459610,459610,459610
$L1-I miss rate,0.058260,0.037451,0.036374,0.036453
L1-I assoc,1,2,4,8
L1-I size,1024,1024,1024,1024

L1-Data-Cache summary
$L1-D hit count,114824,114824,114824,114824
$L1-D miss count,6682,6682,6682,6682
$L1-D access count,121506,121506,121506,121506
$L1-D miss rate,0.054993,0.054993,0.054993,0.054993
L1-D assoc,2,2,2,2
L1-D size,1024,1024,1024,1024

L2-Cache summary
$L2 hit count,32001,22431,21946,21991
$L2 miss count,1464,1470,1460,1451
$L2 access count,33465,23901,23406,23442
$L2 miss rate,0.043747,0.061504,0.062377,0.061897
L2 assoc,2,2,2,2
L2 size,16384,16384,16384,16384

