Program summary
simulated time,0.001851,0.001679,0.001524,0.001442,0.001435,0.001433,0.001433,0.001433
simulated tick,1851113000,1678711000,1523672000,1441532000,1434641000,1433283000,1433032000,1433032000
total Inst.,378971,378971,378971,378971,378971,378971,378971,378971
total cycle,1851113,1678711,1523672,1441532,1434641,1433283,1433032,1433032
CPI,4.881009,4.426420,4.017614,3.801027,3.782857,3.779276,3.778615,3.778615
IPC,0.204876,0.225916,0.248904,0.263087,0.264350,0.264601,0.264647,0.264647
Int-Inst. count,376040,376040,376040,376040,376040,376040,376040,376040
Load-Inst. count,80758,80758,80758,80758,80758,80758,80758,80758
Store-Inst. count,40786,40786,40786,40786,40786,40786,40786,40786
Vector-Inst. count,0,0,0,0,0,0,0,0

L1-Instruction-Cache summary
$L1-I hit count,442397,449509,455864,459122,459257,459287,459295,459295
$L1-I miss count,17213,10101,3746,488,353,323,315,315
$L1-I access count,459610,459610,459610,459610,459610,459610,459610,459610
$L1-I miss rate,0.037451,0.021977,0.008150,0.001062,0.000768,0.000703,0.000685,0.000685
L1-I assoc,2,2,2,2,2,2,2,2
L1-I size,1024,2048,4096,8192,16384,32768,65536,131072

L1-Data-Cache summary
$L1-D hit count,114824,114824,114824,114824,114824,114824,114824,114824
$L1-D miss count,6682,6682,6682,6682,6682,6682,6682,6682
$L1-D access count,121506,121506,121506,121506,121506,121506,121506,121506
$L1-D miss rate,0.054993,0.054993,0.054993,0.054993,0.054993,0.054993,0.054993,0.054993
L1-D assoc,2,2,2,2,2,2,2,2
L1-D size,1024,1024,1024,1024,1024,1024,1024,1024

L2-Cache summary
$L2 hit count,22431,15333,9016,5803,5701,5699,5698,5698
$L2 miss count,1470,1456,1418,1373,1340,1312,1305,1305
$L2 access count,23901,16789,10434,7176,7041,7011,7003,7003
$L2 miss rate,0.061504,0.086723,0.135902,0.191332,0.190314,0.187135,0.186349,0.186349
L2 assoc,2,2,2,2,2,2,2,2
L2 size,16384,16384,16384,16384,16384,16384,16384,16384

