Program summary
simulated time,0.003317,0.003065,0.002607,0.002228,0.001917,0.001897,0.001889,0.001836
simulated tick,3317304000,3064851000,2607477000,2228201000,1917058000,1896638000,1889017000,1836284000
total Inst.,378971,378971,378971,378971,378971,378971,378971,378971
total cycle,3317304,3064851,2607477,2228201,1917058,1896638,1889017,1836284
CPI,8.747057,8.081390,6.875388,5.875314,5.054893,5.001049,4.980954,4.841908
IPC,0.114324,0.123741,0.145446,0.170204,0.197828,0.199958,0.200765,0.206530
Int-Inst. count,376040,376040,376040,376040,376040,376040,376040,376040
Load-Inst. count,80758,80758,80758,80758,80758,80758,80758,80758
Store-Inst. count,40786,40786,40786,40786,40786,40786,40786,40786
Vector-Inst. count,0,0,0,0,0,0,0,0

L1-Instruction-Cache summary
$L1-I hit count,442397,442397,442397,442397,442397,442397,442397,442397
$L1-I miss count,17213,17213,17213,17213,17213,17213,17213,17213
$L1-I access count,459610,459610,459610,459610,459610,459610,459610,459610
$L1-I miss rate,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451,0.037451
L1-I assoc,2,2,2,2,2,2,2,2
L1-I size,1024,1024,1024,1024,1024,1024,1024,1024

L1-Data-Cache summary
$L1-D hit count,114824,114824,114824,114824,114824,114824,114824,114824
$L1-D miss count,6682,6682,6682,6682,6682,6682,6682,6682
$L1-D access count,121506,121506,121506,121506,121506,121506,121506,121506
$L1-D miss rate,0.054993,0.054993,0.054993,0.054993,0.054993,0.054993,0.054993,0.054993
L1-D assoc,2,2,2,2,2,2,2,2
L1-D size,1024,1024,1024,1024,1024,1024,1024,1024

L2-Cache summary
$L2 hit count,2836,6330,12648,17712,21576,21859,21954,22619
$L2 miss count,21065,17571,11253,6189,2325,2042,1947,1282
$L2 access count,23901,23901,23901,23901,23901,23901,23901,23901
$L2 miss rate,0.881344,0.735158,0.470817,0.258943,0.097276,0.085436,0.081461,0.053638
L2 assoc,1,1,1,1,1,1,1,1
L2 size,1024,2048,4096,8192,16384,32768,65536,131072

